employee_number,first_name,last_name,ppsn_masked,department,job_title,pay_frequency,salary_type,annual_salary,hourly_rate,standard_hours,prsi_class,pension_scheme,pension_ee_percent,pension_er_percent,employment_start_date,employment_end_date,tax_basis,annual_tax_credits,annual_srcop,usc_status,lpt_annual,benefits
E0255,Declan,Nagle,••••••3UA,Administration,Administrator,MONTHLY,SALARY,33300.00,,,A,OCCUPATIONAL,0.0600,0.0500,2025-12-22,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,225.00,
E0256,Seán,Connolly,••••••7TA,Operations,Operations Associate,MONTHLY,SALARY,50400.00,,,A,,,,2025-09-02,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0257,Chloe,Keane,••••••3EA,Management,Director,MONTHLY,SALARY,145400.00,,,S,OCCUPATIONAL,0.0500,0.0300,2021-10-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,COMPANY_CAR
E0258,Grace,Murphy,••••••0JA,Operations,Team Lead,MONTHLY,SALARY,39700.00,,,A,OCCUPATIONAL,0.0600,0.0300,2014-09-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0259,Declan,Wilson,•••••89Q,Management,Director,MONTHLY,SALARY,142900.00,,,A,,,,2016-07-13,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0260,Aoibhinn,Brennan,••••••3DA,Sales,Account Executive,MONTHLY,SALARY,58900.00,,,A,OCCUPATIONAL,0.0300,0.0500,2013-09-18,,,,,,,COMPANY_CAR
E0261,Darragh,Collins,•••••15C,Sales,Account Executive,MONTHLY,SALARY,41000.00,,,A,OCCUPATIONAL,0.0600,0.0300,2025-10-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0262,Brian,Johnston,•••••77S,Administration,Administrator,MONTHLY,SALARY,30100.00,,,A,PRSA,0.0500,0.0300,2018-08-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0263,Éabha,Clarke,•••••43K,Sales,Account Executive,MONTHLY,SALARY,40200.00,,,A,OCCUPATIONAL,0.0800,0.0500,2017-05-10,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0264,Seán,Farrell,••••••3SA,Marketing,Marketing Executive,MONTHLY,SALARY,68100.00,,,A,,,,2019-08-22,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0265,Priya,Gallagher,•••••82O,Marketing,Marketing Executive,MONTHLY,SALARY,65300.00,,,A,OCCUPATIONAL,0.0800,0.0300,2020-10-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0266,Shane,O'Reilly,••••••4MA,Finance,Accountant,MONTHLY,SALARY,43600.00,,,A,OCCUPATIONAL,0.0300,0.0500,2016-02-04,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,MEDICAL_INSURANCE
E0267,Mateus,O'Doherty,••••••0QA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.7600,39.00,A,,,,2020-09-13,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0268,Aoife,Walsh,•••••94O,Sales,Sales Representative,MONTHLY,SALARY,67900.00,,,A,OCCUPATIONAL,0.0500,0.0600,2014-04-18,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0269,Méabh,Collins,••••••5QA,Operations,Team Lead,MONTHLY,SALARY,45100.00,,,A,OCCUPATIONAL,0.0300,0.0300,2020-05-14,,CUMULATIVE,5000.00,44000.00,ORDINARY,0.00,
E0270,Declan,Murphy,•••••56B,Operations,Operations Associate,MONTHLY,SALARY,41400.00,,,A,OCCUPATIONAL,0.0500,0.0600,2013-09-01,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0271,Chloe,Fitzgerald,••••••4NA,Operations,Operations Associate,MONTHLY,SALARY,36700.00,,,A,OCCUPATIONAL,0.0500,0.0500,2019-06-02,,CUMULATIVE,5000.00,44000.00,ORDINARY,90.00,
E0272,Shane,Hughes,•••••64B,Customer Service,Senior Agent,WEEKLY,HOURLY,,18.2100,39.00,A,OCCUPATIONAL,0.0800,0.0500,2020-10-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0273,Laura,Kennedy,••••••9IA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,18.6000,39.00,J,OCCUPATIONAL,0.0300,0.0600,2018-02-08,,CUMULATIVE,4000.00,44000.00,REDUCED,0.00,
E0274,Mark,Walsh,•••••11P,Administration,Receptionist,MONTHLY,SALARY,38000.00,,,A,PRSA,0.0800,0.0300,2023-02-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0275,Cian,Dunne,••••••8HA,Operations,Logistics Coordinator,MONTHLY,SALARY,38000.00,,,A,,,,2020-06-19,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,MEDICAL_INSURANCE
E0276,Liam,Connolly,•••••38G,Operations,Operations Associate,MONTHLY,SALARY,39700.00,,,A,,,,2019-05-20,,,,,,,
E0277,Lucas,Gallagher,••••••3VA,Sales,Account Executive,MONTHLY,SALARY,46200.00,,,A,OCCUPATIONAL,0.0500,0.0300,2017-10-10,,CUMULATIVE,4000.00,35000.00,ORDINARY,0.00,COMPANY_CAR
E0278,Oisín,Kowalski,•••••10T,IT,Software Engineer,MONTHLY,SALARY,73600.00,,,A,OCCUPATIONAL,0.0500,0.0600,2016-12-06,,,,,,,
E0279,Rory,Quinn,•••••09E,Administration,Administrator,MONTHLY,SALARY,38200.00,,,A,OCCUPATIONAL,0.0800,0.0600,2014-03-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0280,Priya,Martin,••••••7QA,Marketing,Content Specialist,MONTHLY,SALARY,48000.00,,,A,OCCUPATIONAL,0.0600,0.0300,2024-11-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0281,Liam,Dunne,••••••7SA,IT,Support Engineer,MONTHLY,SALARY,70600.00,,,A,OCCUPATIONAL,0.0500,0.0600,2013-05-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0282,Aoife,Moore,••••••2CA,Finance,Accounts Payable Clerk,MONTHLY,SALARY,75600.00,,,A,,,,2013-02-12,2026-04-11,CUMULATIVE,6000.00,53000.00,ORDINARY,405.00,MEDICAL_INSURANCE
E0283,Méabh,Burke,••••••6FA,IT,DevOps Engineer,MONTHLY,SALARY,59200.00,,,A,,,,2019-04-17,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0284,David,Flynn,••••••2FA,Operations,Team Lead,MONTHLY,SALARY,56500.00,,,A,OCCUPATIONAL,0.0300,0.0600,2024-07-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0285,Ronan,Hughes,••••••3UA,Administration,Administrator,MONTHLY,SALARY,36800.00,,,A,OCCUPATIONAL,0.0600,0.0300,2022-09-06,2026-08-20,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0286,Priya,McCarthy,••••••8PA,Operations,Operations Associate,MONTHLY,SALARY,49500.00,,,A,OCCUPATIONAL,0.0800,0.0500,2015-05-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0287,Ronan,Doyle,••••••7BA,Operations,Team Lead,MONTHLY,SALARY,46300.00,,,A,OCCUPATIONAL,0.0500,0.0600,2025-12-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0288,Adam,Kelly,•••••38N,Administration,Administrator,MONTHLY,SALARY,39900.00,,,A,,,,2017-02-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0289,Aisling,Quinn,•••••20H,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,14.5700,39.00,A,,,,2013-02-18,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,1035.00,
E0290,Oisín,McCarthy,•••••90U,Sales,Account Executive,MONTHLY,SALARY,41500.00,,,A,OCCUPATIONAL,0.0500,0.0300,2025-11-26,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0291,Conor,Doyle,••••••1RA,Finance,Accountant,MONTHLY,SALARY,59100.00,,,A,OCCUPATIONAL,0.0500,0.0600,2017-06-18,,CUMULATIVE,4000.00,35000.00,ORDINARY,675.00,
E0292,Seán,Kelly,•••••57R,Sales,Sales Representative,MONTHLY,SALARY,54900.00,,,A,,,,2024-10-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,COMPANY_CAR
E0293,Diarmuid,Quinn,••••••8GA,Operations,Operations Associate,MONTHLY,SALARY,38000.00,,,A,OCCUPATIONAL,0.0500,0.0600,2018-04-21,2026-08-20,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0294,Chloe,Keane,••••••7DA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.3900,39.00,A,OCCUPATIONAL,0.0500,0.0500,2022-03-07,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0295,Mark,Keane,•••••49R,Operations,Operations Associate,MONTHLY,SALARY,39100.00,,,A,PRSA,0.0800,0.0500,2020-10-24,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0296,Emma,Connell,•••••16K,Finance,Financial Analyst,MONTHLY,SALARY,85500.00,,,A,,,,2017-08-13,,CUMULATIVE,6000.00,53000.00,ORDINARY,315.00,
E0297,Katie,Maguire,••••••2DA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.6000,30.00,A,PRSA,0.0300,0.0600,2023-04-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,225.00,
E0298,Declan,Moore,••••••3NA,Sales,Account Executive,MONTHLY,SALARY,41800.00,,,A,,,,2021-05-24,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0299,Mateus,O'Reilly,•••••67G,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,14.8200,39.00,A,PRSA,0.0500,0.0500,2020-02-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0300,Shane,Carroll,••••••5NA,Marketing,Content Specialist,MONTHLY,SALARY,52100.00,,,A,OCCUPATIONAL,0.0500,0.0300,2020-01-13,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,MEDICAL_INSURANCE
